Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 00:37:04.246,114258.4,0.001,BTCUSDT
2025-09-30 00:37:04.246,114258.4,0.1,BTCUSDT
2025-09-30 00:37:04.246,114258.4,0.001,BTCUSDT
2025-09-30 00:37:04.246,114258.4,0.1,BTCUSDT
2025-09-30 00:37:04.246,114258.4,0.007,BTCUSDT
2025-09-30 00:37:04.246,114258.4,0.046,BTCUSDT
2025-09-30 00:37:04.246,114258.4,0.091,BTCUSDT
2025-09-30 00:37:04.246,114258.4,0.003,BTCUSDT
2025-09-30 00:37:04.246,114258.4,0.076,BTCUSDT
2025-09-30 00:37:04.246,114258.4,0.001,BTCUSDT
2025-09-30 00:37:04.246,114258.4,0.039,BTCUSDT
2025-09-30 00:37:04.246,114258.4,0.005,BTCUSDT
2025-09-30 00:37:04.246,114258.4,0.002,BTCUSDT
2025-09-30 00:37:04.246,114258.4,0.002,BTCUSDT
2025-09-30 00:37:04.246,114258.4,0.002,BTCUSDT
2025-09-30 00:37:04.246,114258.3,0.005,BTCUSDT
2025-09-30 00:37:04.246,114258.3,0.001,BTCUSDT
2025-09-30 00:37:04.246,114258.3,0.002,BTCUSDT
2025-09-30 00:37:04.246,114258.3,0.001,BTCUSDT
2025-09-30 00:37:04.246,114258.3,0.002,BTCUSDT
2025-09-30 00:37:04.246,114258.3,0.002,BTCUSDT
2025-09-30 00:37:04.246,114258.2,0.002,BTCUSDT
2025-09-30 00:37:04.247,114257.7,0.001,BTCUSDT
2025-09-30 00:37:04.247,114257.6,0.24,BTCUSDT
2025-09-30 00:37:04.247,114257.5,0.002,BTCUSDT
2025-09-30 00:37:04.247,114257.5,0.002,BTCUSDT
2025-09-30 00:37:04.247,114257.3,0.008,BTCUSDT
2025-09-30 00:37:04.247,114256.9,0.002,BTCUSDT
2025-09-30 00:37:04.247,114256.8,0.001,BTCUSDT
2025-09-30 00:37:04.247,114256.7,0.013,BTCUSDT
2025-09-30 00:37:04.247,114256.7,0.001,BTCUSDT
2025-09-30 00:37:04.247,114256.4,0.004,BTCUSDT
2025-09-30 00:37:04.247,114256.4,0.004,BTCUSDT
2025-09-30 00:37:04.247,114256.4,0.004,BTCUSDT
2025-09-30 00:37:04.247,114256.4,0.003,BTCUSDT
2025-09-30 00:37:04.247,114256.3,0.005,BTCUSDT
2025-09-30 00:37:04.247,114256.2,0.002,BTCUSDT
2025-09-30 00:37:04.247,114256.2,0.002,BTCUSDT
2025-09-30 00:37:04.248,114255.9,0.001,BTCUSDT
2025-09-30 00:37:04.248,114255.9,0.001,BTCUSDT
2025-09-30 00:37:04.248,114255.8,0.204,BTCUSDT
2025-09-30 00:37:04.259,114255.8,0.061,BTCUSDT
2025-09-30 00:37:04.266,114255.8,0.001,BTCUSDT
2025-09-30 00:37:04.266,114255.8,0.001,BTCUSDT
2025-09-30 00:37:04.266,114255.8,0.001,BTCUSDT
2025-09-30 00:37:04.266,114255.8,0.001,BTCUSDT
2025-09-30 00:37:04.266,114255.8,0.001,BTCUSDT
2025-09-30 00:37:04.266,114255.8,0.001,BTCUSDT
2025-09-30 00:37:04.266,114255.8,0.001,BTCUSDT
2025-09-30 00:37:04.266,114255.8,0.002,BTCUSDT
2025-09-30 00:37:04.266,114255.7,0.001,BTCUSDT
2025-09-30 00:37:04.266,114255.7,0.001,BTCUSDT
2025-09-30 00:37:04.266,114255.5,0.002,BTCUSDT
2025-09-30 00:37:04.274,114255.1,0.001,BTCUSDT
2025-09-30 00:37:04.274,114255.1,0.001,BTCUSDT
2025-09-30 00:37:04.274,114254.9,0.001,BTCUSDT
2025-09-30 00:37:04.274,114254.7,0.002,BTCUSDT
2025-09-30 00:37:04.274,114254.4,0.002,BTCUSDT
2025-09-30 00:37:04.274,114254.4,0.002,BTCUSDT
2025-09-30 00:37:04.274,114254.4,0.004,BTCUSDT
2025-09-30 00:37:04.274,114254.4,0.002,BTCUSDT
2025-09-30 00:37:04.274,114254.4,0.003,BTCUSDT
2025-09-30 00:37:04.274,114254.4,0.008,BTCUSDT
2025-09-30 00:37:04.274,114254.3,0.002,BTCUSDT
2025-09-30 00:37:04.274,114254.3,0.002,BTCUSDT
2025-09-30 00:37:04.275,114254.0,0.002,BTCUSDT
2025-09-30 00:37:04.275,114254.0,0.001,BTCUSDT
2025-09-30 00:37:04.275,114253.7,0.003,BTCUSDT
2025-09-30 00:37:04.275,114253.6,0.003,BTCUSDT
2025-09-30 00:37:04.275,114253.5,0.003,BTCUSDT
2025-09-30 00:37:04.275,114253.4,0.002,BTCUSDT
2025-09-30 00:37:04.275,114253.4,0.003,BTCUSDT
2025-09-30 00:37:04.275,114253.3,0.003,BTCUSDT
2025-09-30 00:37:04.275,114253.2,0.001,BTCUSDT
2025-09-30 00:37:04.275,114253.2,0.005,BTCUSDT
2025-09-30 00:37:04.275,114253.2,0.002,BTCUSDT
2025-09-30 00:37:04.275,114253.2,0.003,BTCUSDT
2025-09-30 00:37:04.275,114253.2,0.002,BTCUSDT
2025-09-30 00:37:04.275,114253.1,0.003,BTCUSDT
2025-09-30 00:37:04.275,114252.9,0.002,BTCUSDT
2025-09-30 00:37:04.275,114252.9,0.003,BTCUSDT
